      Step     Time          Energy          fmax
FIRE:   26 13:39:53     -547.163147        0.187651
FIRE:   27 13:39:53     -547.243713        0.166507
FIRE:   28 13:39:54     -547.282776        0.206819
FIRE:   29 13:39:54     -547.311157        0.261685
FIRE:   30 13:39:54     -547.375549        0.260011
      Step     Time          Energy          fmax
FIRE:    0 13:39:55     -542.870178        0.966228
FIRE:    1 13:39:56     -542.956177        0.986346
FIRE:    2 13:39:56     -543.115417        1.018533
FIRE:    3 13:39:56     -543.326904        1.045242
FIRE:    4 13:39:57     -543.563354        1.075864
FIRE:    5 13:39:57     -543.836670        1.132290
FIRE:    6 13:39:57     -544.244507        1.161164
FIRE:    7 13:39:58     -544.736328        0.988110
FIRE:    8 13:39:58     -545.188599        0.634505
FIRE:    9 13:39:59     -545.518433        0.692939
FIRE:   10 13:39:59     -545.763123        0.760213
FIRE:   11 13:39:59     -545.950317        0.806813
FIRE:   12 13:40:00     -546.106628        0.688774
FIRE:   13 13:40:00     -546.235840        0.700873
FIRE:   14 13:40:00     -546.338623        0.572729
FIRE:   15 13:40:01     -546.405334        0.597681
FIRE:   16 13:40:01     -546.461365        0.569247
FIRE:   17 13:40:01     -546.557617        0.516716
FIRE:   18 13:40:02     -546.670654        0.444495
FIRE:   19 13:40:02     -546.775391        0.346791
FIRE:   20 13:40:03     -546.854980        0.230589
FIRE:   21 13:40:03     -546.902649        0.232190
FIRE:   22 13:40:03     -546.927734        0.319691
FIRE:   23 13:40:04     -546.951050        0.375789
FIRE:   24 13:40:04     -546.993042        0.369766
FIRE:   25 13:40:04     -547.067627        0.296950
FIRE:   26 13:40:05     -547.163147        0.187652
FIRE:   27 13:40:05     -547.243713        0.166506
FIRE:   28 13:40:05     -547.282776        0.206821
FIRE:   29 13:40:06     -547.311157        0.261683
FIRE:   30 13:40:06     -547.375549        0.260012
      Step     Time          Energy          fmax
FIRE:    0 13:40:07     -542.870178        0.966228
FIRE:    1 13:40:07     -542.956177        0.986346
FIRE:    2 13:40:08     -543.115417        1.018534
FIRE:    3 13:40:08     -543.326904        1.045242
FIRE:    4 13:40:08     -543.563354        1.075864
FIRE:    5 13:40:09     -543.836670        1.132290
FIRE:    6 13:40:09     -544.244507        1.161165
FIRE:    7 13:40:10     -544.736328        0.988109
FIRE:    8 13:40:10     -545.188599        0.634505
FIRE:    9 13:40:10     -545.518433        0.692938
FIRE:   10 13:40:11     -545.763123        0.760213
FIRE:   11 13:40:11     -545.950317        0.806812
FIRE:   12 13:40:11     -546.106567        0.688779
FIRE:   13 13:40:12     -546.235840        0.700874
FIRE:   14 13:40:12     -546.338623        0.572729
FIRE:   15 13:40:13     -546.405334        0.597682
FIRE:   16 13:40:13     -546.461365        0.569248
FIRE:   17 13:40:13     -546.557617        0.516718
FIRE:   18 13:40:14     -546.670654        0.444495
FIRE:   19 13:40:14     -546.775391        0.346791
FIRE:   20 13:40:14     -546.854980        0.230587
FIRE:   21 13:40:15     -546.902649        0.232191
FIRE:   22 13:40:15     -546.927734        0.319690
FIRE:   23 13:40:16     -546.951050        0.375787
FIRE:   24 13:40:16     -546.993042        0.369764
FIRE:   25 13:40:16     -547.067627        0.296953
FIRE:   26 13:40:17     -547.163147        0.187652
FIRE:   27 13:40:17     -547.243713        0.166507
FIRE:   28 13:40:18     -547.282776        0.206820
FIRE:   29 13:40:18     -547.311157        0.261679
FIRE:   30 13:40:18     -547.375549        0.260013
      Step     Time          Energy          fmax
FIRE:    0 13:40:19     -542.870178        0.966228
FIRE:    1 13:40:20     -542.956177        0.986346
FIRE:    2 13:40:20     -543.115417        1.018534
FIRE:    3 13:40:20     -543.326904        1.045242
FIRE:    4 13:40:21     -543.563354        1.075863
FIRE:    5 13:40:21     -543.836670        1.132290
FIRE:    6 13:40:21     -544.244507        1.161167
FIRE:    7 13:40:22     -544.736328        0.988110
FIRE:    8 13:40:22     -545.188599        0.634503
FIRE:    9 13:40:23     -545.518433        0.692940
FIRE:   10 13:40:23     -545.763123        0.760212
FIRE:   11 13:40:23     -545.950317        0.806813
FIRE:   12 13:40:24     -546.106628        0.688777
FIRE:   13 13:40:24     -546.235840        0.700873
FIRE:   14 13:40:24     -546.338623        0.572729
FIRE:   15 13:40:25     -546.405334        0.597681
FIRE:   16 13:40:25     -546.461365        0.569247
FIRE:   17 13:40:26     -546.557617        0.516717
FIRE:   18 13:40:26     -546.670654        0.444496
FIRE:   19 13:40:26     -546.775391        0.346789
FIRE:   20 13:40:27     -546.854980        0.230588
FIRE:   21 13:40:27     -546.902649        0.232189
FIRE:   22 13:40:27     -546.927734        0.319686
FIRE:   23 13:40:28     -546.951050        0.375790
FIRE:   24 13:40:28     -546.993042        0.369760
FIRE:   25 13:40:29     -547.067627        0.296950
FIRE:   26 13:40:29     -547.163147        0.187654
FIRE:   27 13:40:29     -547.243713        0.166505
FIRE:   28 13:40:30     -547.282776        0.206817
FIRE:   29 13:40:30     -547.311157        0.261679
FIRE:   30 13:40:30     -547.375549        0.260011
      Step     Time          Energy          fmax
FIRE:    0 13:40:31     -542.870178        0.966228
FIRE:    1 13:40:32     -542.956177        0.986346
FIRE:    2 13:40:32     -543.115417        1.018534
FIRE:    3 13:40:32     -543.326904        1.045244
FIRE:    4 13:40:33     -543.563354        1.075862
FIRE:    5 13:40:33     -543.836670        1.132291
FIRE:    6 13:40:33     -544.244507        1.161166
FIRE:    7 13:40:34     -544.736328        0.988106
FIRE:    8 13:40:34     -545.188599        0.634503
FIRE:    9 13:40:35     -545.518433        0.692942
FIRE:   10 13:40:35     -545.763123        0.760212
FIRE:   11 13:40:35     -545.950317        0.806814
FIRE:   12 13:40:36     -546.106567        0.688782
FIRE:   13 13:40:36     -546.235840        0.700873
FIRE:   14 13:40:37     -546.338623        0.572728
FIRE:   15 13:40:37     -546.405334        0.597684
FIRE:   16 13:40:37     -546.461365        0.569246
FIRE:   17 13:40:38     -546.557617        0.516719
FIRE:   18 13:40:38     -546.670654        0.444493
FIRE:   19 13:40:38     -546.775391        0.346790
FIRE:   20 13:40:39     -546.854980        0.230588
FIRE:   21 13:40:39     -546.902649        0.232191
FIRE:   22 13:40:40     -546.927734        0.319687
FIRE:   23 13:40:40     -546.951050        0.375790
FIRE:   24 13:40:40     -546.993042        0.369765
FIRE:   25 13:40:41     -547.067627        0.296950
FIRE:   26 13:40:41     -547.163147        0.187653
FIRE:   27 13:40:41     -547.243713        0.166504
FIRE:   28 13:40:42     -547.282776        0.206814
FIRE:   29 13:40:42     -547.311157        0.261680
FIRE:   30 13:40:43     -547.375549        0.260010
      Step     Time          Energy          fmax
FIRE:    0 13:40:44     -523.661011        0.722293
FIRE:    1 13:40:44     -523.702759        0.583786
FIRE:    2 13:40:45     -523.759521        0.369444
FIRE:    3 13:40:45     -523.794739        0.166390
FIRE:    4 13:40:45     -523.790588        0.389619
FIRE:    5 13:40:46     -523.792664        0.372972
FIRE:    6 13:40:46     -523.796570        0.340777
FIRE:    7 13:40:46     -523.801758        0.295236
FIRE:    8 13:40:47     -523.807617        0.239462
FIRE:    9 13:40:47     -523.813477        0.195394
FIRE:   10 13:40:48     -523.819214        0.215095
FIRE:   11 13:40:48     -523.824768        0.236616
FIRE:   12 13:40:48     -523.831421        0.261818
FIRE:   13 13:40:49     -523.840332        0.290831
FIRE:   14 13:40:49     -523.853577        0.324195
FIRE:   15 13:40:49     -523.874084        0.363382
FIRE:   16 13:40:50     -523.906006        0.411623
FIRE:   17 13:40:50     -523.955444        0.475362
FIRE:   18 13:40:50     -524.034241        0.566854
FIRE:   19 13:40:51     -524.168396        0.707534
FIRE:   20 13:40:51     -524.417847        0.925758
FIRE:   21 13:40:51     -524.910278        1.215099
FIRE:   22 13:40:52     -525.641724        1.383842
FIRE:   23 13:40:52     -526.439392        1.355240
FIRE:   24 13:40:52     -527.235352        1.350729
FIRE:   25 13:40:53     -528.007202        1.190848
FIRE:   26 13:40:53     -528.674805        1.244227
FIRE:   27 13:40:53     -529.286377        1.246415
FIRE:   28 13:40:54     -529.878235        1.232077
FIRE:   29 13:40:54     -530.469482        1.292127
FIRE:   30 13:40:54     -531.063660        1.245923
      Step     Time          Energy          fmax
FIRE:    0 13:40:55     -523.661011        0.722293
FIRE:    1 13:40:55     -523.702759        0.583786
FIRE:    2 13:40:56     -523.759521        0.369444
FIRE:    3 13:40:56     -523.794739        0.166390
FIRE:    4 13:40:56     -523.790588        0.389618
FIRE:    5 13:40:57     -523.792664        0.372973
FIRE:    6 13:40:57     -523.796570        0.340777
FIRE:    7 13:40:57     -523.801758        0.295236
FIRE:    8 13:40:58     -523.807617        0.239460
FIRE:    9 13:40:58     -523.813477        0.195393
FIRE:   10 13:40:58     -523.819214        0.215096
FIRE:   11 13:40:59     -523.824768        0.236615
FIRE:   12 13:40:59     -523.831421        0.261818
FIRE:   13 13:41:00     -523.840332        0.290830
FIRE:   14 13:41:00     -523.853577        0.324194
FIRE:   15 13:41:00     -523.874084        0.363383
FIRE:   16 13:41:01     -523.906006        0.411622
FIRE:   17 13:41:01     -523.955444        0.475362
FIRE:   18 13:41:01     -524.034180        0.566854
FIRE:   19 13:41:02     -524.168396        0.707534
FIRE:   20 13:41:02     -524.417847        0.925757
FIRE:   21 13:41:02     -524.910278        1.215100
FIRE:   22 13:41:03     -525.641724        1.383843
