No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
2785,Ba4_Sr4_Mn2_Ce6_O24,Ba4Sr4Mn2Ce6O24.vasp,NOT,train,Ba4,8,Ba,4,Sr4,Sr,4,,2.054,-297.196007,-317.020007,-7.925500175,-6,0.302617634,0.220261843,0.519367691,2.054423446489648,0.9647750168607104,0.9638311767770366,0.7246458476193162,0.7243537070056356,0.6679461046551228,0.6678899787562311,0.9085310746584756,0.9087665837966754,0.2203508895619043,0.519145027,0.3026397848881736,2.0541003522069397
479,Sr2_Pr6_Ga8_O24,Sr2Pr6Ga8O24.vasp,NOT,train,Sr2,8,Sr,2,Pr6,Pr,6,,0.003,-271.501719,-287.989719,-7.199742975,-1.7355,0.473549447,0.358549447,0.383729983,0.003059454,-0.796604795,-0.796344148,-4.342805922,-4.342284253,0.002990959,0.002958332,-1.560475007,-1.559613776,0.3585010398960737,0.3828308491162725,0.4734803729486603,0.003028879
2519,Cs4_Ba4_Ce8_O24,Cs4Ba4Ce8O24.vasp,NOT,train,Cs4,8,Cs,4,Ba4,Ba,4,,0.005,-286.245752,-302.733752,-7.5683438,0.8251,0.56752624,0.32427624,0.715539142,0.005677073,-0.794887213,-0.79459567,-4.199705078,-4.200610079,0.004974937,0.004965947,-1.32683568,-1.326472521,0.3243011828048082,0.7144814613301452,0.567491571,0.004907545
3008,Y4_Ba4_Mn2_Ce6_O24,Y4Ba4Mn2Ce6O24.vasp,NOT,train,Y4,8,Y,4,Ba4,Ba,4,,0.391,-322.240259,-342.064259,-8.551606475,6,0.551352307,0.639783121,0.741880821,0.3910904473101026,-0.463393987,-0.46384331,-0.913793852,-0.914230527,0.2804315396670394,0.2803524602969751,0.03918442,0.039783056,0.6398668317846018,0.7416015086049729,0.5512928313805917,0.3911230555837321
1103,Y2_Ba6_Ce8_O24,Y2Ba6Ce8O24.vasp,NOT,train,Y2,8,Y,2,Ba6,Ba,6,,0.231,-318.531175,-335.019175,-8.375479375,1.0029,0.388830063,0.501345688,0.654492239,0.2302261358607641,-0.600800506,-0.601403682,-1.422958345,-1.42378338,0.187368213,0.1872409096535717,-0.093140368,-0.093656227,0.5013167670118552,0.6543591893770113,0.3887765724527665,0.2308829603975805
3257,Sr4_La4_Sc4_Ce4_O24,Sr4La4Sc4Ce4O24.vasp,NOT,train,Sr4,8,Sr,4,La4,La,4,,2.279,-326.577445,-343.065445,-8.576636125,0,0.171326611,0.171326611,0.371038139,2.2785516941512585,1.158002934,1.1576054260694832,0.8281150409704295,0.8278790507234609,0.6900269891085696,0.6900587485852259,1.0961406605360522,1.0958756185266223,0.1713182547810998,0.3715082113098882,0.1713458533020713,2.2791341571378965
2331,Ba4_Ta4_Be4_Nb4_O24,Ba4Ta4Be4Nb4O24.vasp,NOT,train,Ba4,8,Ba,4,Ta4,Ta,4,,0.002,-328.891195,-345.379195,-8.634479875,0,1.01686341,1.47686341,1.47686341,0.001382166,-0.797463585,-0.797653924,-4.422848629,-4.422737377,0.001995978,0.00210293,-1.65556517,-1.655781136,1.4768958357356403,1.477259158472155,1.0169346486571336,0.002120334
3536,Pr8_Ti7_Co1_O24,Pr8Ti7Co1O24.vasp,NOT,train,Pr8,8,Pr,8,,,0,,0.004,-339.078812,-357.204812,-8.9301203,1.2826,0.549561283,0.86780104,0.86780104,0.003331279,-0.795746004,-0.796143387,-4.268697949,-4.268110603,0.003983944,0.004038194,-1.405414904,-1.405702537,0.8677270902803519,0.8679390164948768,0.5495549042248151,0.003888471
3217,Sr4_Ba4_Sc4_Ce4_O24,Sr4Ba4Sc4Ce4O24.vasp,NOT,train,Sr4,8,Sr,4,Ba4,Ba,4,,0,-300.279106,-316.767106,-7.91917765,-3.9992,0.51650767,0.276844735,0.684927057,0.000413002,-0.799181167,-0.799531893,-4.605170186,-4.604567258,0,-0.000118713,-2.12489258,-2.123777736,0.2768209877731097,0.6851194713504319,0.5164740692277168,6.973752216060626e-05
3296,Ba8_Cu8_O24,Ba8Cu8O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,0.062,-214.056189,-230.544189,-5.763604725,0,2.065240364,0.682855617,1.06623542,0.062892573,-0.745936141,-0.745622224,-2.63108916,-2.630339023,0.058354161,0.058261084,-0.430532377,-0.430258574,0.68287458,1.065490856,2.065205741,0.06203007
34,La7_Zn1_Fe8_O24,La7Zn1Fe8O24.vasp,NOT,train,La7,8,La,7,Zn1,Zn,1,,0.018,-290.70651,-325.24251,-8.13106275,35,0.417824929,0.340024272,0.340024272,0.016904881,-0.783722934,-0.783518754,-3.575550769,-3.575811646,0.017679353,0.017739063,-0.818752006,-0.818578113,0.3400245975371352,0.3404691445351303,0.417839706,0.017920061164178727
3707,La8_Mg2_Ni6_O24,La8Mg2Ni6O24.vasp,NOT,train,La8,8,La,8,,,0,,2.465,-268.006458,-299.740458,-7.49351145,-4,1.041047592,0.35150319,0.456733007,2.4653870104030555,1.3177380117586122,1.3172611533961625,0.9062403960206534,0.9053036675475054,0.7061000049626083,0.7060059402336782,1.1849946505670117,1.185486491068094,0.3514342095373173,0.4566578201562214,1.0410342980664402,2.464878544908383
