      Step     Time          Energy          fmax
FIRE:   13 16:43:33     -383.327332        0.168838
FIRE:   14 16:43:34     -383.342499        0.120518
FIRE:   15 16:43:34     -383.351410        0.115666
FIRE:   16 16:43:34     -383.354218        0.128852
FIRE:   17 16:43:35     -383.354614        0.127937
FIRE:   18 16:43:35     -383.355347        0.126119
FIRE:   19 16:43:35     -383.356476        0.123411
FIRE:   20 16:43:36     -383.357880        0.119854
FIRE:   21 16:43:36     -383.359558        0.115485
FIRE:   22 16:43:36     -383.361420        0.110361
FIRE:   23 16:43:37     -383.363434        0.106216
FIRE:   24 16:43:37     -383.365753        0.103422
FIRE:   25 16:43:37     -383.368347        0.100011
FIRE:   26 16:43:38     -383.371124        0.095912
FIRE:   27 16:43:38     -383.374023        0.091080
FIRE:   28 16:43:38     -383.376923        0.085525
FIRE:   29 16:43:39     -383.379852        0.079341
FIRE:   30 16:43:39     -383.382812        0.072711
